Question,Answer 1,Answer 2,Answer 3,Answer 4,RealAnswer
"What is 7 x 8?",54,56,58,62,2
"Solve for x: 2x + 5 = 17",6,7,8,9,1
"What is the square root of 144?",10,11,12,13,3
"What is 25% of 80?",15,18,20,22,3
"What is 3^4?",27,64,81,243,3
"Solve: 15 - 3 x 2",9,12,6,18,1
"What is the area of a circle with radius 5? (use π ≈ 3.14)",78.5,314,15.7,25,1
"Convert 0.75 to a fraction",3/5,2/3,3/4,4/5,3
"What is 12²?",124,132,144,156,3
"Solve for x: x/4 = 9",32,36,40,44,2
"What is sin(30°)?",0.5,0.707,0.866,1,1
"What is the perimeter of a rectangle 8×5?",26,30,34,40,1
"Simplify: 2(3x + 4)",6x + 4,6x + 8,5x + 8,8x + 4,2
"What is 2/3 + 1/6?",1/2,2/3,5/6,1,3
"What is 10 x 10?",1,2,10,100,4
"Solve: (x + 3)² = 16",1 or -7,-1 or 7,4 or -4,1 or -1,1
"What is the slope of y = 3x + 7?",3,7,10,21,1
"Factor: x² - 9",(x-3)(x-3),(x+3)(x+3),(x-3)(x+3),(x-9)(x+1),3
"What is 15% of 200?",25,30,35,40,2
"Solve: |x - 5| = 3",2 or 8,3 or 7,5 or -5,8 only,1
"What is the volume of a cube with side 4?",12,16,48,64,4
"Convert 3/8 to decimal",0.325,0.375,0.425,0.625,2
"What is the derivative of x³?",x²,2x²,3x²,3x,3
"Solve: 2ˣ = 32",4,5,6,10,2
"What is the distance between (0,0) and (3,4)?",5,6,7,25,1
