Question,Answer 1,Answer 2,Answer 3,Answer 4,RealAnswer
What is the chemical symbol for gold?,Au,Go,Gd,Ag,1
How many bones are in the adult human body?,196,206,216,226,2
What planet is closest to the Sun?,Venus,Mercury,Mars,Earth,2
What is the speed of light in a vacuum?,300000 km/s,150000 km/s,450000 km/s,600000 km/s,1
What organelle is the powerhouse of the cell?,Nucleus,Ribosome,Mitochondria,Chloroplast,3
What gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,3
What is the most abundant element in the universe?,Oxygen,Hydrogen,Carbon,Nitrogen,2
How many chambers does the human heart have?,2,3,4,5,3
What is the hardest natural substance on Earth?,Gold,Iron,Diamond,Quartz,3
What type of animal is a frog?,Reptile,Mammal,Amphibian,Fish,3
What is the boiling point of water at sea level in Celsius?,90,95,100,105,3
Which scientist developed the theory of relativity?,Newton,Einstein,Curie,Darwin,2
What is the largest organ in the human body?,Liver,Brain,Skin,Heart,3
How many planets are in our solar system?,7,8,9,10,2
What is the process by which plants make food?,Respiration,Photosynthesis,Digestion,Fermentation,2
What is the atomic number of carbon?,4,6,8,12,2
What force keeps planets in orbit around the Sun?,Magnetism,Friction,Gravity,Inertia,3
What is the study of weather called?,Geology,Meteorology,Astronomy,Biology,2
Which blood type is the universal donor?,A,B,AB,O,4
What is the smallest unit of life?,Atom,Molecule,Cell,Tissue,3
How long does it take Earth to orbit the Sun?,24 hours,30 days,365 days,10 years,3
What is the center of an atom called?,Electron,Proton,Neutron,Nucleus,4
Which vitamin is produced when skin is exposed to sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,3
What is the main gas in Earth's atmosphere?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,3
At what temperature does water freeze in Celsius?,0,32,-10,10,1
